2theta,intensity,b1,b2,h,k,l,phase,phase_idx
13.374690019505723,36.85655537670269,0.0048945,8.341699240000001e-12,1,1,0,CaNi(PO3)4_15_sym,0
14.30113361747742,1004.3198292472598,0.0048945,1.094418724e-11,1,1,-1,CaNi(PO3)4_15_sym,0
16.858555399214474,21.811936587448496,0.0048945,2.1276078759999996e-11,2,0,0,CaNi(PO3)4_15_sym,0
19.17089632399349,507.01695922651555,0.0048945,3.568628644e-11,1,1,1,CaNi(PO3)4_15_sym,0
19.673642864337534,311.8780043455016,0.0048945,3.959429776e-11,2,0,-2,CaNi(PO3)4_15_sym,0
20.76420595495136,81.03372709687586,0.0048945,4.915412100000001e-11,0,0,2,CaNi(PO3)4_15_sym,0
21.09094392839277,734.6759865351768,0.0048945,5.2324968959999994e-11,1,1,-2,CaNi(PO3)4_15_sym,0
20.65946358580284,10.779115176972919,0.0048945,4.8167764090000005e-11,0,2,0,CaNi(PO3)4_15_sym,0
23.12269022393691,21.35927540543262,0.0048945,7.556998761e-11,0,2,1,CaNi(PO3)4_15_sym,0
24.64131590108138,531.606450234612,0.0048945,9.737150329000001e-11,3,1,-1,CaNi(PO3)4_15_sym,0
25.59306759084675,95.03353396390206,0.0048945,1.1320959999999999e-10,2,2,-1,CaNi(PO3)4_15_sym,0
26.17700101823957,543.4287762694182,0.0048945,1.2383238399999998e-10,3,1,-2,CaNi(PO3)4_15_sym,0
26.67665198275651,266.2353511559759,0.0048945,1.3347180899999998e-10,2,2,0,CaNi(PO3)4_15_sym,0
27.831507780897176,59.123959700914284,0.0048945,1.5787922500000001e-10,1,1,2,CaNi(PO3)4_15_sym,0
27.321956045814638,590.2574126774565,0.0048945,1.4672476900000002e-10,3,1,0,CaNi(PO3)4_15_sym,0
28.56986798735263,50.38508341485969,0.0048945,1.75112289e-10,2,2,-2,CaNi(PO3)4_15_sym,0
29.345105121683865,2236.3691117253875,0.0048945,1.9463040100000002e-10,0,2,2,CaNi(PO3)4_15_sym,0
30.09629118116938,2.4552898229908537,0.0048945,2.15062225e-10,1,1,-3,CaNi(PO3)4_15_sym,0
30.235904995757856,3.5072026514884374,0.0048945,2.19010401e-10,4,0,-2,CaNi(PO3)4_15_sym,0
31.35133990710902,434.2027769073493,0.0048945,2.5258744899999997e-10,3,1,-3,CaNi(PO3)4_15_sym,0
31.429882086171027,17.16967849358069,0.0048945,2.55072841e-10,2,2,1,CaNi(PO3)4_15_sym,0
32.40064599689472,2.748717585113553,0.0048945,2.8747202499999996e-10,2,0,2,CaNi(PO3)4_15_sym,0
32.21918279846823,41.37579213533394,0.0048945,2.8119936100000006e-10,1,3,0,CaNi(PO3)4_15_sym,0
32.62781155002152,20.937863641575166,0.0048945,2.9546172100000004e-10,1,3,-1,CaNi(PO3)4_15_sym,0
33.27586479794734,23.21032915363893,0.0048945,3.1915822499999996e-10,3,1,1,CaNi(PO3)4_15_sym,0
33.82865900072606,490.78916919540063,0.0048945,3.4040250000000006e-10,4,0,0,CaNi(PO3)4_15_sym,0
34.64472739529361,1.8435860371470336,0.0048945,3.7368756099999996e-10,2,2,-3,CaNi(PO3)4_15_sym,0
35.12209853771117,68.34357356125942,0.0048945,3.94181316e-10,1,3,1,CaNi(PO3)4_15_sym,0
37.016404603557525,2.3435837311766887,0.0048945,4.83736036e-10,2,0,-4,CaNi(PO3)4_15_sym,0
