material_id,formula,x_Li,formation_energy_per_atom,energy_above_hull
mp-862716,LiAg3,0.25,-0.14796333,0.0
mp-1185342,LiAg3,0.25,-0.14040421,0.00755911
mp-1185300,LiAg3,0.25,-0.14240875,0.00555458
mp-1018026,LiAg,0.5,-0.22070139,0.00106762
mp-2426,LiAg,0.5,-0.22176901,0.0
mp-1222584,Li3Ag2,0.6,-0.19655797,0.00877708
mp-1211140,Li8Ag5,0.61538462,-0.20280674,0.0
mp-1222549,Li9Ag4,0.69230769,-0.16716547,0.00947845
mp-976408,Li3Ag,0.75,-0.15677392,0.00024786
mp-977126,Li3Ag,0.75,-0.14923406,0.00778773
mp-865875,Li3Ag,0.75,-0.15702179,0.0
